HSCode,value,country
20,2.62,BELGIUM
21,3.97,BELGIUM
22,23.26,BELGIUM
23,10.38,BELGIUM
24,1.76,BELGIUM
25,3.14,BELGIUM
26,3.3,BELGIUM
27,119.67,BELGIUM
28,113.03,BELGIUM
29,324.98,BELGIUM
30,253.99,BELGIUM
31,14.35,BELGIUM
32,79.12,BELGIUM
33,29.98,BELGIUM
34,50.39,BELGIUM
35,8.02,BELGIUM
37,42.3,BELGIUM
38,210.67,BELGIUM
39,381.87,BELGIUM
40,85.21,BELGIUM
41,1.16,BELGIUM
42,0.34,BELGIUM
43,0.01,BELGIUM
44,17.03,BELGIUM
45,0,BELGIUM
46,0,BELGIUM
47,38.65,BELGIUM
48,75.18,BELGIUM
49,0.89,BELGIUM
50,0,BELGIUM
51,0.47,BELGIUM
52,0.21,BELGIUM
53,30.85,BELGIUM
54,5.82,BELGIUM
55,4.57,BELGIUM
56,3.81,BELGIUM
57,4.78,BELGIUM
58,0.26,BELGIUM
59,4.37,BELGIUM
60,0.38,BELGIUM
61,0.56,BELGIUM
62,1.84,BELGIUM
63,5.4,BELGIUM
64,0.49,BELGIUM
65,0.06,BELGIUM
66,0.04,BELGIUM
67,0.14,BELGIUM
68,4.74,BELGIUM
69,12.34,BELGIUM
70,7.95,BELGIUM
71,"6,619.68",BELGIUM
72,249.48,BELGIUM
73,70.5,BELGIUM
74,21.35,BELGIUM
75,4.58,BELGIUM
76,59.49,BELGIUM
78,0.08,BELGIUM
79,15.33,BELGIUM
80,,BELGIUM
81,9.3,BELGIUM
82,20.17,BELGIUM
83,11.54,BELGIUM
84,686.69,BELGIUM
85,133.5,BELGIUM
86,8,BELGIUM
87,57.18,BELGIUM
88,0.28,BELGIUM
89,177.05,BELGIUM
90,173.34,BELGIUM
91,0.2,BELGIUM
92,0.14,BELGIUM
93,0.17,BELGIUM
94,13.26,BELGIUM
95,2.29,BELGIUM
96,5.52,BELGIUM
97,0.59,BELGIUM
98,110.92,BELGIUM
99,0.05,BELGIUM
7,,BELIZE
23,0.36,BELIZE
29,,BELIZE
39,0.07,BELIZE
40,0.03,BELIZE
44,,BELIZE
48,,BELIZE
63,,BELIZE
72,0.03,BELIZE
73,0.01,BELIZE
76,,BELIZE
83,0.06,BELIZE
84,0.02,BELIZE
85,0.04,BELIZE
87,0.02,BELIZE
90,,BELIZE
92,0.02,BELIZE
96,0.01,BELIZE
99,,BELIZE
8,285.36,BENIN
9,0.57,BENIN
12,23.74,BENIN
13,0.68,BENIN
14,,BENIN
15,0.16,BENIN
23,4.3,BENIN
39,0.01,BENIN
42,,BENIN
44,32.49,BENIN
47,0.06,BENIN
48,0,BENIN
49,,BENIN
51,0,BENIN
52,2.15,BENIN
61,,BENIN
62,,BENIN
63,,BENIN
64,,BENIN
65,,BENIN
70,0,BENIN
71,,BENIN
72,13.1,BENIN
